full_name,email,role,phone_number
Alice Mwangi,alice@gmail.com,LECTURER,+255712345678
Bob Kimaro,bob@gmail.com,STUDENT,+255765432109
Carol Jones,carol@gmail.com,COORDINATOR,
David Mushi,david@gmail.com,LECTURER,+255713456789
Esther John,esther@gmail.com,STUDENT,+255754321987
Frank Joseph,frank@gmail.com,SYSTEM_ADMIN,+255768945321
Grace Peter,grace@gmail.com,LECTURER,+255712987654
Henry Simon,henry@gmail.com,STUDENT,+255763219874
Irene Paul,irene@gmail.com,COORDINATOR,+255758963214
James Michael,james@gmail.com,STUDENT,+255714589632
Kevin Thomas,kevin@gmail.com,LECTURER,+255769852147
Linda Andrew,linda@gmail.com,SYSTEM_ADMIN,+255752369814
